t,x,y
0,2890,2650
1,2900,2660
2,2905,2660
3,2905,2680
4,2910,2700
5,2900,2720
6,2860,2740
7,2905,2770
8,2900,2800
9,2935,2830
10,2910,2870
11,2920,2910
12,2910,2960
13,2940,3040
14,2940,3120
15,2960,3190
16,2980,3260
17,2965,3350
18,3015,3420
19,3060,3500
20,3050,3590
21,3043,3700
22,3105,3800
23,3108,3930
24,3137,4070
25,3167,4200
26,3211,4310
27,3233,4430
28,3221,4550
29,3308,4660
30,3325,4780
31,3360,4920
32,3390,5060
33,3471,5230
34,3520,5390
35,3550,5540
36,3610,5700
37,3653,5830
38,3706,5970
39,3783,6110
40,3832,6240
41,3890,6400
42,3943,6560
43,3987,6740
44,4045,6930
45,4117,7100
46,4177,7260
47,4247,7410
48,4332,7550
49,4372,7690
50,4450,7830
51,4507,7980
52,4587,8150
53,4640,8330
54,4717,8520
55,4795,8680
56,4875,8840
57,4950,8970
58,5029,9110
59,5095,9240
60,5167,9370
61,5240,9520
62,5302,9670
63,5374,9860
64,5446,10020
65,5538,10190
66,5614,10320
67,5682,10460
68,5755,10560
69,5844,10690
70,5908,10820
71,5988,10930
72,6062,11090
73,6127,11220
74,6221,11400
75,6308,11530
76,6367,11660
77,6440,11770
78,6521,11890
79,6587,11970
80,6663,12090
81,6724,12200
82,6802,12330
83,6866,12470
84,6947,12610
85,7022,12740
86,7110,12830
87,7185,12920
88,7250,13010
89,7322,13100
90,7389,13180
91,7459,13280
92,7529,13390
93,7600,13520
94,7671,13640
95,7753,13740
96,7820,13820
97,7898,13900
98,7966,13980
99,8028,14040
100,8090,14130
101,8152,14200
102,8220,14310
103,8292,14440
104,8369,14560
105,8436,14660
106,8505,14740
107,8567,14820
108,8629,14870
109,8702,14930
110,8756,14980
111,8814,15050
112,8880,15130
113,8940,15260
114,9012,15360
115,9088,15420
116,9158,15490
117,9218,15540
118,9273,15630
119,9330,15680
120,9381,15740
121,9442,15800
122,9500,15890
123,9554,15980
124,9616,16090
125,9678,16130
126,9742,16220
127,9806,16270
128,9869,16310
129,9919,16370
130,9974,16420
131,10025,16480
132,10081,16560
133,10135,16660
134,10197,16730
135,10253,16810
136,10310,16850
137,10370,16920
138,10420,16960
139,10476,17010
140,10524,17040
141,10569,17100
142,10620,17160
143,10675,17250
144,10732,17340
145,10789,17410
146,10836,17460
147,10893,17480
148,10942,17520
149,10991,17530
150,11040,17570
151,11088,17630
152,11142,17680
153,11191,17750
154,11242,17850
155,11289,17900
156,11341,17940
157,11386,17990
158,11429,18020
159,11467,18040
160,11500,18090
161,11543,18130
162,11583,18180
163,11624,18270
164,11669,18350
165,11714,18400
166,11760,18440
167,11801,18470
168,11841,18500
169,11884,18530
170,11917,18540
171,11956,18580
172,11993,18640
173,12031,18700
174,12077,18780
175,12123,18830
176,12164,18870
177,12203,18890
178,12243,18920
179,12285,18950
180,12326,18980
181,12366,19060
182,12409,19140
183,12458,19280
184,12512,19410
185,12569,19570
186,12634,19730
